id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Bones,Red Hollow,country,melancholic,0.52,96,0.38,0.51,0.74
12,Bass Cannon,Drop Unit,electronic,intense,0.97,140,0.55,0.94,0.03
13,Rainy Seoul,Hana Mori,k-indie,sad,0.31,68,0.22,0.39,0.83
14,Copper Skies,The Wanderers,folk,peaceful,0.29,74,0.72,0.44,0.95
15,Neon Jungle,Prism Arc,funk,happy,0.84,126,0.89,0.91,0.12
16,Hollow Crown,Darkwell,metal,angry,0.96,168,0.18,0.55,0.07
17,Velvet Afternoon,June & Lowe,soul,relaxed,0.44,85,0.76,0.63,0.67
18,Ice Rink,Frost Theory,classical,peaceful,0.21,58,0.64,0.28,0.97
19,Chasing Sparks,The Runaways,punk,intense,0.88,158,0.43,0.71,0.09
20,Slow Burn,Mara Soleil,r&b,moody,0.61,102,0.53,0.77,0.41
